experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
cloudmile wanli cloud,optoma,industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,"Dates Employed
May 2019 – Present","Dates Employed
Jun 2018 – Apr 2019","Dates Employed
Feb 2016 – May 2018",,,"machine,learning,engineer","python,engineer","data,scientist",none,none,national taiwan university of science and technology,none,none,"cloudmile,wanliyun,machine,learning,engineer"
taiwan ai labs,deep force,hiwin corporation,none,none,"Dates Employed
Jan 2020 – Present","Dates Employed
Dec 2018 – Dec 2019","Dates Employed
Jul 2014 – Aug 2014",,,"machine,learning,engineer","software,engineer",intern,none,none,national taiwan university,national tsing hua university,none,"machine,learning,engineer,at,taiwan,ailabs"
appier,omnieyes,"ntu ai center, ministry of science and technology, roc",computer and information networking center,none,"Dates Employed
Feb 2020 – Present","Dates Employed
Jan 2019 – Present","Dates Employed
Mar 2019 – Present","Dates Employed
Feb 2015 – Jul 2019",,"chief,machine,learning,scientist","cofounder,currently,chief,advisor","associate,director","associate,director",none,university of southern california,university of southern california,university of southern california,"appier,chief,machine,learning,scientist"
bridgewell,yahoo,your,none,none,"Dates Employed
Nov 2017 – Present","Dates Employed
Jul 2016 – Aug 2016","Dates Employed
Jul 2015 – Jan 2016",,,"machine,learning,engineer","yahoo,search,summer,intern","data,analyst",none,none,national taiwan university,national taiwan university,none,"machine,learning,engineer,at,bridgewell"
industrial technology research institute (itri) (industrial technology research institute (itri)),yahoo,none,none,none,"Dates Employed
Sep 2016 – Feb 2020","Dates Employed
Sep 2015 – Jan 2016",,,,"software,engineermachine,learning,engineer","marketing,intern",none,none,none,national chiao tung university,national chung hsing university,national kaohsiung normal university,"software,engineer,machine,learning,engineer"
keystone semiconductor corp.,transpacific ip group,"institute of communication engineering, national chiao tung university",industrial technology research institute,none,"Dates Employed
May 2016 – Present","Dates Employed
Apr 2013 – Jan 2016","Dates Employed
Aug 2012 – Mar 2013","Dates Employed
Oct 2007 – Jul 2012",,"deputy,manager","patent,analyst","assisting,researcher","baseband,algorithm,engineer",none,national chiao tung university,none,none,"machine,learning,deep,learning,engineering"
appier,none,none,none,none,"Dates Employed
Oct 2017 – Nov 2019",,,,,"machine,learning,scientist",none,none,none,none,national taiwan university,none,none,"machine,learning,scientist"
ulsee inc.,fortinet,none,none,none,"Dates Employed
2018 – Present","Dates Employed
2015 – 2017",,,,"machine,learning,engineer","antivirus,analyst",none,none,none,national tsinghua university,national chiao tung university,none,"machine,learning,computer,vision,algorithm,engineer,at,ulsee,inc"
taiwan ai labs,academia sinica,none,none,none,"Dates Employed
Oct 2018 – Present","Dates Employed
Sep 2017 – Sep 2018",,,,"machine,learning,engineer","research,assistant",none,none,none,national cheng kung university,yuan ze university,none,"machine,learning,engineer,at,taiwan,ailabs"
appier,chunghwa telecom,104 manpower bank,none,none,"Dates Employed
Aug 2016 – Present","Dates Employed
Sep 2013 – Jul 2016","Dates Employed
Sep 2011 – Jun 2012",,,"machine,learning,scientist","associate,researcher","research,intern",none,none,national taiwan university,national taiwan university,none,"machine,learning,scientist,at,appier"
